,id,cluster
0,HOBBIES_1_001_CA_1_validation,500
1,HOBBIES_1_002_CA_1_validation,191
2,HOBBIES_1_003_CA_1_validation,527
3,HOBBIES_1_004_CA_1_validation,542
4,HOBBIES_1_005_CA_1_validation,318
5,HOBBIES_1_006_CA_1_validation,600
6,HOBBIES_1_007_CA_1_validation,101
7,HOBBIES_1_008_CA_1_validation,66
8,HOBBIES_1_009_CA_1_validation,148
9,HOBBIES_1_010_CA_1_validation,584
10,HOBBIES_1_011_CA_1_validation,422
11,HOBBIES_1_012_CA_1_validation,317
12,HOBBIES_1_013_CA_1_validation,504
13,HOBBIES_1_014_CA_1_validation,13
14,HOBBIES_1_015_CA_1_validation,226
15,HOBBIES_1_016_CA_1_validation,472
16,HOBBIES_1_017_CA_1_validation,126
17,HOBBIES_1_018_CA_1_validation,611
18,HOBBIES_1_019_CA_1_validation,277
19,HOBBIES_1_020_CA_1_validation,480
20,HOBBIES_1_021_CA_1_validation,198
21,HOBBIES_1_022_CA_1_validation,610
22,HOBBIES_1_023_CA_1_validation,236
23,HOBBIES_1_024_CA_1_validation,351
24,HOBBIES_1_025_CA_1_validation,405
25,HOBBIES_1_026_CA_1_validation,24
26,HOBBIES_1_027_CA_1_validation,394
27,HOBBIES_1_028_CA_1_validation,189
28,HOBBIES_1_029_CA_1_validation,566
29,HOBBIES_1_030_CA_1_validation,575
30,HOBBIES_1_031_CA_1_validation,495
31,HOBBIES_1_032_CA_1_validation,77
32,HOBBIES_1_033_CA_1_validation,359
33,HOBBIES_1_034_CA_1_validation,124
34,HOBBIES_1_035_CA_1_validation,307
35,HOBBIES_1_036_CA_1_validation,355
36,HOBBIES_1_037_CA_1_validation,219
37,HOBBIES_1_038_CA_1_validation,236
38,HOBBIES_1_039_CA_1_validation,510
39,HOBBIES_1_040_CA_1_validation,355
40,HOBBIES_1_041_CA_1_validation,527
41,HOBBIES_1_042_CA_1_validation,370
42,HOBBIES_1_043_CA_1_validation,323
43,HOBBIES_1_044_CA_1_validation,242
44,HOBBIES_1_045_CA_1_validation,373
45,HOBBIES_1_046_CA_1_validation,579
46,HOBBIES_1_047_CA_1_validation,289
47,HOBBIES_1_048_CA_1_validation,395
48,HOBBIES_1_049_CA_1_validation,514
49,HOBBIES_1_050_CA_1_validation,58
50,HOBBIES_1_051_CA_1_validation,86
51,HOBBIES_1_052_CA_1_validation,434
52,HOBBIES_1_053_CA_1_validation,273
53,HOBBIES_1_054_CA_1_validation,24
54,HOBBIES_1_055_CA_1_validation,458
55,HOBBIES_1_056_CA_1_validation,429
56,HOBBIES_1_057_CA_1_validation,393
57,HOBBIES_1_058_CA_1_validation,532
58,HOBBIES_1_060_CA_1_validation,105
59,HOBBIES_1_061_CA_1_validation,178
60,HOBBIES_1_062_CA_1_validation,273
61,HOBBIES_1_063_CA_1_validation,493
62,HOBBIES_1_064_CA_1_validation,121
63,HOBBIES_1_065_CA_1_validation,289
64,HOBBIES_1_066_CA_1_validation,100
65,HOBBIES_1_067_CA_1_validation,205
66,HOBBIES_1_068_CA_1_validation,191
67,HOBBIES_1_069_CA_1_validation,527
68,HOBBIES_1_070_CA_1_validation,173
69,HOBBIES_1_072_CA_1_validation,532
70,HOBBIES_1_073_CA_1_validation,439
71,HOBBIES_1_074_CA_1_validation,387
72,HOBBIES_1_075_CA_1_validation,530
73,HOBBIES_1_076_CA_1_validation,387
74,HOBBIES_1_077_CA_1_validation,148
75,HOBBIES_1_078_CA_1_validation,14
76,HOBBIES_1_079_CA_1_validation,522
77,HOBBIES_1_080_CA_1_validation,447
78,HOBBIES_1_081_CA_1_validation,19
79,HOBBIES_1_082_CA_1_validation,209
80,HOBBIES_1_083_CA_1_validation,383
