,cluster
0,460
1,206
2,420
3,125
4,441
5,478
6,91
7,478
8,478
9,154
10,233
11,379
12,231
13,205
14,478
15,203
16,155
17,478
18,478
19,459
20,207
21,265
22,478
23,161
24,301
25,478
26,478
27,478
28,201
29,478
30,478
31,356
32,65
33,478
34,71
35,336
36,173
37,478
38,311
39,478
40,472
41,478
42,407
43,478
44,455
45,478
46,478
47,115
48,358
49,478
50,451
51,415
52,78
53,478
54,478
55,137
56,478
57,177
58,470
59,478
60,378
61,454
62,69
63,337
64,445
65,478
66,478
67,374
68,478
69,476
70,200
71,478
72,287
73,478
74,478
75,154
76,478
77,478
78,478
79,75
80,478
81,478
82,478
83,6
84,478
85,244
86,478
87,262
88,320
89,335
90,114
91,478
92,478
93,478
94,265
95,466
96,478
97,189
98,321
99,124
100,478
101,478
102,388
103,375
104,472
105,47
106,442
107,478
108,134
109,58
110,420
111,388
112,322
113,332
114,33
115,478
116,478
117,134
118,176
119,478
120,346
121,367
122,465
123,478
124,239
125,367
126,478
127,478
128,478
129,285
130,478
131,279
132,478
133,478
134,478
135,478
136,475
137,478
138,478
139,361
140,398
141,478
142,478
143,225
144,478
145,478
146,102
147,478
148,274
149,478
150,478
151,478
152,478
153,449
154,478
155,478
156,116
157,460
158,82
159,478
160,183
161,478
162,190
163,478
164,101
165,389
166,478
167,127
168,430
169,99
170,478
171,458
172,478
173,343
174,209
175,478
176,478
177,478
178,428
179,478
180,478
181,478
182,211
183,478
184,346
185,478
186,478
187,478
188,478
189,312
190,89
191,478
192,478
193,478
194,210
195,478
196,371
197,478
198,437
199,472
200,367
201,478
202,425
203,479
204,478
205,304
206,478
207,478
208,265
209,447
210,478
211,367
212,15
213,478
214,241
215,478
216,97
217,478
218,478
219,428
220,345
221,79
222,358
223,478
224,459
225,477
226,478
227,478
228,478
229,478
230,424
231,466
232,341
233,478
234,144
235,478
236,410
237,478
238,478
239,478
240,478
241,478
242,478
243,349
244,478
245,459
246,466
247,380
248,478
249,478
250,367
251,478
252,478
253,478
254,439
255,249
256,351
